
167.61600	47.13593	120.48007	0.01270007	7.10980e+33
66.24000	8.49422    	57.74578	0.00205148	4.98055e+32
188.64000	8.09147	    180.54853	0.00451468	1.65958e+33
43.20000	6.41035	    36.78965	0.00347149	2.82766e+32
244.08000	6.56856	    237.51144	0.02838553	5.40646e+33
42.62400	5.84513	    36.77887	0.00817390	9.17208e+32
26.49600	6.24493	    20.25107	0.00343014	1.79619e+32
70.56000	12.24183	58.31817	0.00476765	8.08547e+32
42.91200	5.19127	    37.72073	0.00402812	5.38830e+32
31.10400	6.22127	    24.88273	0.00289697	1.58828e+32
161.56800	15.48872	146.07928	0.01956785	6.12226e+33
55.87200	7.80487	    48.06713	0.00794235	1.13801e+33
204.19200	18.45925    185.73275	0.03466440	1.50634e+34
84.96000	10.16674	74.79326	0.03446227	3.83622e+33
36.14400	5.79230	    30.35170	0.00976537	8.80289e+32
61.92000	17.67348	44.24652	0.01067790	1.14531e+33
92.73600	26.16822	66.56778	0.00947549	2.36851e+33
118.94400	12.85101	106.09299	0.00543873	1.53012e+33
27.50400	7.40668	    20.09732	0.00254425	1.77897e+32
47.52000	6.33005	    41.18995	0.00395097	4.49280e+32
32.83200	17.07412	15.75788	0.00300149	3.69686e+32
42.48000	11.98105	30.49895	0.00267708	3.87662e+32
31.68000	4.02109	    27.65891	0.00869493	5.95937e+32
58.60800	16.59569	42.01231	0.00539639	8.11632e+32
179.28000	31.29554	147.98446	0.00962784	3.88814e+33
45.36000	12.40976	32.95024	0.00456230	3.82608e+32
77.18400	8.49926 	68.68474	0.00781363	1.68429e+33
15.69600	4.71936 	10.97664	0.00357151	1.07272e+32
42.33600	5.10895	    37.22705	0.01519333	1.33965e+33
79.05600	13.86999	65.18601	0.00456080	7.54865e+32
307.00800	201.63040	105.37760	0.01895033	1.09772e+34
120.96000	32.29523	88.66477	0.01152105	3.57072e+33
20.44800	2.30551	    18.14249	0.00673791	2.83466e+32

