1326.7227 	7.10980e+33
1327.2310	4.98055e+32
1327.9585	1.65958e+33
1328.1550	2.82766e+32
1328.58575	5.40646e+33
1329.3913	9.17208e+32
1329.4382	1.79619e+32
1330.1410	8.08547e+32
1331.8349	5.38830e+32
1333.0273	1.58828e+32
1333.9356	6.12226e+33
1334.1334	1.13801e+33
1335.1761	1.50634e+34
1335.3849	3.83622e+33
1335.71265	8.80289e+32
1336.9675	1.14531e+33
1337.0473	2.36851e+33
1338.2573	1.53012e+33
1338.45155	1.77897e+32
1339.8495	4.49280e+32
1340.5272	3.69686e+32
1344.82425	3.87662e+32
1345.4024	5.95937e+32
1345.43635	8.11632e+32
1345.56665	3.88814e+33
1346.04575	3.82608e+32
1346.2109	1.68429e+33
1346.28245	1.07272e+32
1346.5317	1.33965e+33
1349.83965	7.54865e+32
1350.1134	1.09772e+34
1350.3150	3.57072e+33
1352.3578	2.83466e+32
