1326.7227	6.00320e+33
1327.231	4.20535e+32
1327.9585	1.40127e+33
1328.155	2.38755e+32
1328.58575	4.56497e+33
1329.3913	7.74449e+32
1329.4382	1.51663e+32
1330.141	6.82701e+32
1331.8349	4.54964e+32
1333.0273	1.34108e+32
1333.9356	5.16937e+33
1334.1334	9.60887e+32
1335.1761	1.27189e+34
1335.3849	3.23914e+33
1335.71265	7.43277e+32
1336.9675	9.67046e+32
1337.0473	1.99987e+33
1338.2573	1.29197e+33
1338.45155	1.50209e+32
1339.8495	3.79352e+32
1340.5272	3.12147e+32
1344.82425	3.27324e+32
1345.4024	5.03183e+32
1345.43635	6.85306e+32
1345.56665	3.28297e+33
1346.04575	3.23057e+32
1346.2109	1.42214e+33
1346.28245	9.05761e+31
1346.5317	1.13114e+33
1349.83965	6.37374e+32
1350.1134	9.26864e+33
1350.315	3.01496e+33
1352.3578	2.39346e+32
