2036.712155	2.31023e+32
2037.016	1.00026e+33
2037.4686	1.06589e+33
2037.7124	5.59059e+33
2039.1961	9.41446e+32
2039.37205	8.01434e+32
2039.4524	2.58269e+32
2039.60125	2.33189e+32
2039.85255	8.04594e+32
2040.02734	1.80047e+32
2040.6116	1.35516e+32
2042.51085	2.49755e+33
2042.614	1.59451e+32
2044.5839	2.86211e+32
2046.65595	6.84659e+32
2046.8733	1.58777e+32
2047.23525	1.28197e+33
2047.35646	6.54820e+32
2047.45815	2.31551e+32
2047.65355	9.76955e+32
2049.74375	4.36881e+32
2050.37288	2.07142e+32
2050.87095	4.53683e+32
2051.19085	1.04253e+33
2051.5297	5.73880e+33
2051.84865	2.72290e+32
2053.5145	9.74211e+33
2054.3353	3.45030e+33
2055.92025	9.34374e+32
2056.69525	1.79472e+32
2056.9634	1.86413e+34
2057.14125	2.82846e+32
2057.8401	3.08388e+33
2058.85175	1.12766e+33
2059.11315	5.50830e+32
2059.56455	1.41563e+33
2060.50955	3.65735e+32
