banda,bjd_tdb,fluxo,erro,base,fluxo_corrigido
g,2461275.4295627875,1.0203782441115052,0.0016980256451236116,1.0210584827060485,0.9993337907611908
g,2461275.430415295,1.0160398142479448,0.0025289536791620448,1.0208885817279656,0.9952504440084796
g,2461275.4317444274,1.0168574074503984,0.0015056971461125251,1.0206263266944524,0.9963072486516583
g,2461275.432672259,1.0178975308896638,0.0013449465811595043,1.0204451571849515,0.9975034167418505
g,2461275.4337284057,1.0183261345502272,0.001624346059862491,1.0202407841656747,0.9981233355447429
g,2461275.4347907132,1.0159497987601083,0.0010456462892604434,1.0200371726522395,0.995992916727237
g,2461275.435819746,1.0179096507588845,0.0016223987115810178,1.0198417677514138,0.9981054737571797
g,2461275.4368461426,1.016105266972596,0.0012301644010486914,1.0196486222337997,0.996524925171339
g,2461275.4378726166,1.0149215757243373,0.0014088008844845889,1.019457185510388,0.995550956086714
g,2461275.438929997,1.0167945564992356,0.0007602304199414128,1.0192617514865752,0.9975794294412194
g,2461275.4399909824,1.0155457340704674,0.0010963911059138835,1.019067421227923,0.996544205923871
g,2461275.4410232278,1.0147980106190109,0.0010741337493559752,1.018880022192563,0.9959936288035486
g,2461275.4420538372,1.013765331480339,0.000921440437977086,1.018694530525264,0.9951612589473869
g,2461275.4430765472,1.016847408224813,0.001124773643714402,1.0185120222531834,0.9983656412570487
g,2461275.4441344826,1.0134146304780112,0.0010380861400708364,1.018324833942131,0.9951781560259987
g,2461275.445188141,1.0151171373409138,0.0012064132459603345,1.0181399983384176,0.9970309967171145
g,2461275.446216654,1.0185961095902631,0.001106396290233478,1.0179610800191738,1.0006238250003403
g,2461275.447272635,1.0181997585179408,0.0013516742340232127,1.017778903810559,1.0004135030759689
g,2461275.448329378,1.0171547873339253,0.0014269963778685672,1.0175981124968747,0.9995643416025393
g,2461275.4493228868,1.0221809436518483,0.0014655110282514833,1.0174294964461743,1.0046700505757604
g,2461275.4503824227,1.0233210241320423,0.0012175185327565046,1.0172511008262322,1.005966986224817
g,2461275.45140984,1.0219247460194965,0.0011383588631276788,1.0170794931800746,1.004763888046029
g,2461275.452468327,1.02254440857624,0.0015674844616009097,1.016904092636876,1.0055465564355617
g,2461275.4535287363,1.0241405396906766,0.0009668508531170988,1.0167297721324926,1.0072888271410019
g,2461275.4545543785,1.0214060444176027,0.0013157920593308804,1.0165624745795712,1.0047646553548366
g,2461275.455582629,1.0215049667969816,0.0012854399187784801,1.0163960211082192,1.0050265305871542
g,2461275.456642646,1.020383302026756,0.0007225365273382391,1.016225733501456,1.0040911860310553
g,2461275.4577079825,1.0202513683468624,0.0010561095956283088,1.0160559088706267,1.0041291620270179
g,2461275.458735976,1.0189966058137478,0.0015100199497789502,1.015893267021562,1.0030547882271967
g,2461275.459759251,1.0172515701252982,0.0011695715289936077,1.015732552547012,1.0014954897078736
g,2461275.4607859324,1.0183212760060179,0.0008613712651523689,1.0155724684746954,1.0027066581821098
g,2461275.4618425565,1.01878734785391,0.0010784207578340415,1.0154089146772263,1.0033271651724247
g,2461275.462901785,1.0183370800795135,0.0016121628538095555,1.0152461607669236,1.0030445023404522
g,2461275.4639298357,1.0169209431525519,0.0011261265106420667,1.0150893296819465,1.001804386488014
g,2461275.464954203,1.0151952112031635,0.0011993047415843525,1.014934153159503,1.000257216729625
g,2461275.465851067,1.0159659399627754,0.0013172937183020803,1.0147991741342015,1.0011497504711406
g,2461275.483813435,1.0181718280402516,0.0017436863398631287,1.012254046353177,1.0058461427824315
g,2461275.4847580367,1.0171172875090555,0.0008964176995721756,1.0121278326733127,1.0049296686393498
g,2461275.4857931235,1.0156400862469457,0.001174226473037725,1.011990331616079,1.0036065113636394
g,2461275.486833176,1.0116735351956343,0.001050333240248707,1.0118530054470969,0.999822632091325
g,2461275.4878702136,1.0115951815447792,0.0009000149020523961,1.0117168998853685,0.999879691304353
g,2461275.488907526,1.0105006845924005,0.0009740380187212796,1.0115815704847178,0.9989314891415041
g,2461275.489979515,1.0107427177091237,0.00117719197239206,1.0114425598193106,0.9993080752798142
g,2461275.4910470587,1.0112159598866217,0.0009703341902858201,1.011304965551237,0.9999119892933911
g,2461275.492052773,1.0088678935617768,0.0010765686993887932,1.0111760989022263,0.9977173062704356
g,2461275.493089122,1.005262333451936,0.00107316979753091,1.0110440677025605,0.9942814221107468
g,2461275.4941563196,1.0064776458010996,0.0007916833626386184,1.0109089031529466,0.9956165611579577
g,2461275.4948872044,1.0084829505651074,0.0011092050215008868,1.0108167959537133,0.997691129195767
