banda,prof (ppt),sigma (ppt),esperada (ppt),rms resíduo (ppt),n pontos
g',5.345,2.202,3.265,2.819,52
r',5.426,1.824,3.197,3.08,55
i',11.59,2.948,3.013,4.133,53
z',-5.872,1.882,2.893,3.347,55
