banda,bjd_tdb,fluxo,erro,base,n_fits
g,2461253.4806748293,1.001000896447419,0.0010799624412958658,1.0042462675293153,112
g,2461253.4841791596,0.999974545386376,0.0010799624412958658,1.003840612976006,108
g,2461253.487634252,1.0000444096067522,0.0010799624412958658,1.0034637511845013,111
g,2461253.4910945636,1.0002634548280183,0.0010799624412958658,1.0031077299428164,111
g,2461253.4945705323,1.0006219399109215,0.0010799624412958658,1.0027702372916754,112
g,2461253.498059182,1.0008319509196169,0.0010799624412958658,1.00245049400615,110
g,2461253.5015120483,1.0003784433582512,0.0010799624412958658,1.0021515736714806,111
g,2461253.504990213,0.9982054868331599,0.0010799624412958658,1.0018670254932311,112
g,2461253.50847583,1.0000060378261018,0.0010799624412958658,1.0015975484739479,110
g,2461253.51193409,0.9982203311024146,0.0010799624412958658,1.0013447979280719,112
g,2461253.5154089797,1.0000995694253683,0.0010799624412958658,1.0011046624824675,111
g,2461253.5188605343,1.0007831856096583,0.0010799624412958658,1.000879111664275,109
g,2461253.5223523495,1.0011373495032918,0.0010799624412958658,1.0006633823692634,112
g,2461253.5258294484,0.9976786791351041,0.0010799624412958658,1.0004603612537009,111
g,2461253.529289219,0.9985340680822946,0.0010799624412958658,1.0002694479760588,110
g,2461253.5327602117,0.9980630576893071,0.0010799624412958658,1.0000884936382284,112
g,2461253.5362260034,0.9996910026588971,0.0010799624412958658,0.9999178808600617,110
g,2461253.5397026325,1.0017006761865817,0.0010799624412958658,0.9997563795755967,111
g,2461253.5431829067,1.0039878503934625,0.0010799624412958658,0.9996039527053863,112
g,2461253.546649778,1.0029943849442695,0.0010799624412958658,0.9994609115892805,110
g,2461253.550156,1.0037976981186263,0.0010799624412958658,0.9993248054674343,109
g,2461253.553597872,1.0000591737887599,0.0010799624412958658,0.9991992326875969,111
g,2461253.5570783247,0.9983957828171827,0.0010799624412958658,0.9990800338681824,112
g,2461253.5605524736,0.9981573129071657,0.0010799624412958658,0.9989685648418237,111
g,2461253.5640389584,0.9979388411562833,0.0010799624412958658,0.9988639771184827,110
g,2461253.5674992357,0.9978409989079368,0.0010799624412958658,0.9987671367141381,111
g,2461253.570964426,0.9981284887515156,0.0010799624412958658,0.9986768814222896,112
g,2461253.574440714,0.9978817623668396,0.0010799624412958658,0.9985928865025224,111
g,2461253.5778990607,0.998216318747585,0.0010799624412958658,0.998515641963152,111
g,2461253.5813780883,0.9970662502076201,0.0010799624412958658,0.9984441142637149,112
g,2461253.5848532505,0.996848719570954,0.0010799624412958658,0.998378689360806,111
g,2461253.588325835,0.9958640077114076,0.0010799624412958658,0.9983191767653047,112
g,2461253.5918044527,0.99750159841453,0.0010799624412958658,0.9982653009367449,111
g,2461253.595268824,0.9968591216295197,0.0010799624412958658,0.9982172323993034,111
g,2461253.598739307,0.9989041651760471,0.0010799624412958658,0.9981745577930394,112
g,2461253.6022145753,0.9963977708582765,0.0010799624412958658,0.9981372190145779,111
g,2461253.605679495,0.9947214853189159,0.0010799624412958658,0.9981052769038434,111
g,2461253.609155064,0.9949311738018752,0.0010799624412958658,0.9980784599338661,112
g,2461253.612633823,0.9988205265197948,0.0010799624412958658,0.9980567883413345,111
g,2461253.6160962936,0.9995892587475502,0.0010799624412958658,0.9980402961383389,111
g,2461253.6195737007,0.9998049366774767,0.0010799624412958658,0.9980287826681931,112
g,2461253.623045391,1.0000369129993383,0.0010799624412958658,0.9980222971177736,111
g,2461253.6265336084,1.002591513183145,0.0010799624412958658,0.9980207910697763,110
g,2461253.6299910718,0.9989280809766529,0.0010799624412958658,0.9980242334508914,111
g,2461253.6334557873,0.9986581301332629,0.0010799624412958658,0.9980325999691119,111
g,2461253.6369329514,0.9988366284056436,0.0010799624412958658,0.9980459423393443,112
g,2461253.6404063767,1.0017118556773517,0.0010799624412958658,0.998064223041654,111
g,2461253.643870118,0.9983978619989546,0.0010799624412958658,0.9980873971027486,111
g,2461253.64734194,0.9982520887461216,0.0010799624412958658,0.9981156040131502,112
g,2461253.6508320845,0.9975867849872294,0.0010799624412958658,0.99814901747809,112
g,2461253.654300045,0.9956853907408522,0.0010799624412958658,0.9981872840089612,111
g,2461253.657761908,0.9969361089082797,0.0010799624412958658,0.9982305711361165,111
g,2461253.6612395565,0.9961352472911074,0.0010799624412958658,0.998279235740012,112
g,2461253.6647111503,0.9974184739223652,0.0010799624412958658,0.9983330657917042,111
g,2461253.66818422,0.9974827956179945,0.0010799624412958658,0.9983922499531355,112
g,2461253.6716606314,0.9994218111694182,0.0010799624412958658,0.9984569242504241,111
g,2461253.675135187,0.9988034760305735,0.0010799624412958658,0.998527099890654,112
g,2461253.678606203,0.9980430769369815,0.0010799624412958658,0.9986028456344436,111
g,2461253.6820652583,0.998764621718961,0.0010799624412958658,0.9986840669582562,111
g,2461253.6855395134,0.9968793550207258,0.0010799624412958658,0.9987715501341317,112
g,2461253.6890110695,0.9998815801325115,0.0010799624412958658,0.9988650302285064,111
g,2461253.692555172,1.000691953016201,0.0010799624412958658,0.9989668925929149,79
g,2461253.695952222,0.9992958918655597,0.0010799624412958658,0.9990708045403804,83
g,2461253.6994197066,0.9984168110182738,0.0010799624412958658,0.9991834031573692,83
g,2461253.702912283,0.9993946466735817,0.0010799624412958658,0.9993037050111784,84
g,2461253.706402123,0.9997670318733103,0.0010799624412958658,0.9994310555652985,83
g,2461253.7098550037,0.9982580803681353,0.0010799624412958658,0.999564338363164,82
g,2461253.7133062775,0.9989064535786832,0.0010799624412958658,0.9997050670587576,83
g,2461253.716782033,1.0004302196127928,0.0010799624412958658,0.9998546774095886,83
g,2461253.7202575738,1.0005484355838241,0.0010799624412958658,1.000012511182931,83
g,2461253.723730133,1.0005470393616813,0.0010799624412958658,1.0001787800749213,83
g,2461253.7272057575,0.9999939621738981,0.0010799624412958658,1.0003541516334509,83
g,2461253.7306681257,1.001144118968101,0.0010799624412958658,1.0005381691167565,82
g,2461253.73415216,1.000892144695682,0.0010799624412958658,1.000733165492955,83
g,2461253.7376243463,1.0002599794607403,0.0010799624412958658,1.000937785158718,83
g,2461253.741092404,1.0018368418594115,0.0010799624412958658,1.001152929445885,83
g,2461253.7445687875,1.0003739126609232,0.0010799624412958658,1.0013799527613931,83
g,2461253.748042967,1.0006960354472354,0.0010799624412958658,1.001618807822672,83
g,2461253.751516162,1.0005750245018663,0.0010799624412958658,1.0018702245966726,83
g,2461253.7549908813,1.0009182232290856,0.0010799624412958658,1.0021351089498027,83
g,2461253.7584588896,1.0039219497052978,0.0010799624412958658,1.0024135863648649,83
g,2461253.761926995,1.0030761176738452,0.0010799624412958658,1.0027070153661337,83
g,2461253.7654067115,1.0024949473437532,0.0010799624412958658,1.0030173814705976,83
g,2461253.7688831706,1.002172733125591,0.0010799624412958658,1.003344440218964,83
g,2461253.7723567258,1.0044612281521703,0.0010799624412958658,1.0036893007730217,83
g,2461253.775830316,1.0046978218606017,0.0010799624412958658,1.004053461329805,83
g,2461253.779303111,1.0043559469855432,0.0010799624412958658,1.004438177444672,82
g,2461253.7827634932,1.006084171506412,0.0010799624412958658,1.0048435218269967,82
g,2461253.7862440255,1.0079692768113953,0.0010799624412958658,1.005275024562998,82
g,2461253.789713431,1.0058667934771863,0.0010799624412958658,1.0057307140752725,83
g,2461253.793201781,1.006631901752877,0.0010799624412958658,1.0062166549935279,81
g,2461253.796646834,1.009657150613088,0.0010799624412958658,1.0067260984896098,81
g,2461253.8001522166,1.0063110377139288,0.0010799624412958658,1.0072771139902241,82
g,2461253.803602336,1.0077274247147734,0.0010799624412958658,1.0078543724563096,82
g,2461253.8070727987,1.0087810150895766,0.0010799624412958658,1.008473105925956,80
g,2461253.8105363757,1.008630586249025,0.0010799624412958658,1.009132173903753,83
g,2461253.8140156497,1.0094896332277596,0.0010799624412958658,1.0098400055998862,83
g,2461253.8175215106,1.0103011827203925,0.0010799624412958658,1.0106042326796942,79
g,2461253.820973166,1.0113978008411721,0.0010799624412958658,1.0114117453834188,82
g,2461253.8238762943,1.0099493334709815,0.0010799624412958658,1.0121374700844668,56
