banda,bjd_tdb,fluxo,erro,base,n_fits
g,2461241.540705459,1.0055098971424667,0.0014901280454758393,1.0081237827925429,37
g,2461241.542111238,1.0059160154630467,0.0014512153387609729,1.0079307827354071,39
g,2461241.543512848,1.0067997363362082,0.0014777343372026307,1.0077391014511585,38
g,2461241.544899601,1.008346765391966,0.0014762111745682106,1.0075497359985637,38
g,2461241.5462856926,1.006027794390354,0.0014640692411099804,1.0073609619499158,38
g,2461241.5476691267,1.007190932212206,0.0014638045883810687,1.0071733982665774,38
g,2461241.5490549225,1.0065265887549382,0.0014657642011805742,1.0069857310502695,38
g,2461241.550438279,1.0055933491942075,0.001463379026885891,1.0067992534361496,38
g,2461241.551828194,1.0069428415030488,0.001460903020292822,1.0066124373356073,38
g,2461241.5532178376,1.0082115284574387,0.0014600593980375039,1.0064263519728835,38
g,2461241.554605781,1.0055102921251937,0.0014520536426349377,1.006241425480232,38
g,2461241.5560053876,1.003800145046063,0.001423350059413503,1.0060561709986604,39
g,2461241.5573757915,1.003196008600059,0.0014864479883137148,1.0058750799455154,36
g,2461241.5587946908,1.0064407315323434,0.0014509547964663683,1.0056888332137965,38
g,2461241.560186428,1.0037576754064652,0.0014390747196687517,1.005506937938131,38
g,2461241.561568402,1.0046314598087118,0.0014473996190793059,1.0053278749472792,38
g,2461241.562955797,1.0062012937639764,0.0014439997206515528,1.0051487971936468,38
g,2461241.564341023,1.0045282459407798,0.0014432247781579824,1.0049712241975401,38
g,2461241.5654321252,1.0031809719098546,0.0018991681150264572,1.0048323145652442,22
g,2461241.571712475,1.001045386024399,0.0023410871614539808,1.0040458334163282,14
g,2461241.572666295,1.0035574107406942,0.001410646147337354,1.003928725507288,39
g,2461241.5740557704,1.003600491233829,0.0014254882142791798,1.0037591838803874,38
g,2461241.5754395598,1.0006578170213039,0.001404000541250913,1.0035920435861587,39
g,2461241.576759153,1.000748980410136,0.0014962840706629007,1.0034335068388112,34
g,2461241.5783633534,1.00272941247767,0.001655945439023798,1.0032426275818607,28
g,2461241.5795858847,1.001732185713735,0.001369946896115111,1.003098798619241,41
g,2461241.580992166,1.002482306624699,0.0013525075083542538,1.0029343639538375,42
g,2461241.5823830278,1.0044056475098315,0.0013165411692553546,1.002773557129251,45
g,2461241.5837901463,1.002578383452832,0.0013060293134322292,1.0026120224383552,45
g,2461241.5851710215,1.003264974449255,0.0013247548078207639,1.0024555315688957,44
g,2461241.5865644766,1.0018566989143751,0.0013029253551234544,1.0022987063961548,45
g,2461241.5879551903,1.0030707458017314,0.0013165531373438345,1.002144116559677,44
g,2461241.589344023,1.0023772757640965,0.0013031720907338176,1.0019914791159215,45
g,2461241.5907350844,1.0025823442794286,0.0013123833889335543,1.0018401052606887,44
g,2461241.5921256854,1.00067327555121,0.0013001934394465176,1.0016904147540824,45
g,2461241.59351452,1.0036031673962895,0.0013175554127537513,1.0015426921432118,44
g,2461241.594891191,1.0018282406303591,0.0013174353703578024,1.0013977855076224,44
g,2461241.596279587,1.0009636178408694,0.0013012603007942103,1.001253475202256,45
g,2461241.597661581,1.0021438133581375,0.001315739732493054,1.0011117677714678,44
g,2461241.5990545335,1.0007155993108867,0.0013049169518518902,1.0009702923792618,45
g,2461241.600449637,1.001467920292506,0.0013290949453110513,1.0008303725641305,44
g,2461241.6018358725,1.001092206514711,0.001329040698453067,1.0006934992874217,43
g,2461241.6032378385,1.0016988483122993,0.001300175007154674,1.0005568411697452,45
g,2461241.6046318626,1.0001299609161582,0.0013198346413390296,1.0004226620026981,44
g,2461241.6060013818,1.0025577058434767,0.0013288886503039475,1.000292834110218,44
