banda,prof (ppt),sigma (ppt),esperada (ppt),rms resíduo (ppt),n pontos
g',0.269,1.227,3.265,2.115,66
r',2.683,1.015,3.197,1.952,66
i',-16.756,2.287,3.013,5.202,66
z',-1.538,2.38,2.893,4.104,66
