banda,prof (ppt),sigma (ppt),esperada (ppt),rms resíduo (ppt),n pontos
g',4.927,1.33,3.265,5.421,5818
r',1.936,1.339,3.197,9.747,18885
i',3.701,1.423,3.013,10.528,18910
z',-2.076,1.575,2.893,11.953,18982
