banda,AP,prof (ppt),sig_prof (ppt),SNR,Rp/R*,sig_Rp/R*,rms res (ppt),n bins
g',8,-3.0893387893179405,0.5516569233255196,-5.600108797139114,,,2.1437207431824032,164
r',8,-3.0249955933329393,0.5401672901209161,-5.600108797139115,,,2.189519948077249,164
i',8,-2.8511808602065307,0.5091295479229068,-5.600108797139114,,,3.2903680460351254,164
z',8,-2.737366202892197,0.48880589682304293,-5.600108797139114,,,2.9966718033489497,164
