t_bjd_tdb,minutos,C_g,sigC_g,modelo_IIb_g,C_r,sigC_r,modelo_IIb_r,C_i,sigC_i,modelo_IIb_i,C_z,sigC_z,modelo_IIb_z,T_IIa_K,T_IIb_K,T_MB_K,A_MB_cm2,L_IIb_erg_s,L_MB_erg_s,bins_bons
2461268.4,6.4999996,1.0673657,0.0051847134,1.0673657,1.015956,0.0038703269,1.0211405,1.0044342,0.0041927229,1.0110956,0.9932388,0.0044584728,1.0071347,7760.6814,8420.6548,22027.876,3.4597354e+17,1.3370768e+30,4.6152927e+30,1
2461268.4,6.7500003,1.0639371,0.0040764859,1.0639371,1.0268626,0.0039718518,1.0202969,1.0059628,0.0039601108,1.0107097,1.0048161,0.0043551082,1.0069088,7666.8951,8311.0505,7991.5434,5.7768556e+18,1.2661668e+30,1.274668e+30,1
2461268.4,6.9999996,1.0527745,0.0040764859,1.0527745,1.0263874,0.0044407032,1.0174774,1.0085353,0.0055110472,1.0094048,1.0082289,0.0043058728,1.0061395,7340.5348,7930.869,6251.9255,1.505694e+19,1.0410635e+30,1.1443655e+30,1
2461268.4,7.2500002,1.0510243,0.0052236086,1.0510243,1.0195203,0.0039526305,1.0170239,1.0100376,0.0043080722,1.0091925,1.0008695,0.0043058728,1.0060134,7285.9537,7867.4728,7848.3147,4.9792632e+18,1.0065376e+30,1.0183137e+30,1
2461268.4,7.4999996,1.0511108,0.0040764859,1.0511108,1.0156474,0.0055396275,1.0170464,1.0037493,0.0043279726,1.009203,0.99775566,0.0061034609,1.0060197,7288.6772,7870.636,13091.234,8.6522286e+17,1.0082406e+30,1.4317988e+30,1
2461268.4,7.7500002,1.0500578,0.0040764859,1.0500578,1.0175084,0.0051684935,1.0167719,1.0052276,0.0046643348,1.0090742,0.9973221,0.0043058728,1.0059431,7255.3552,7831.9555,11488.574,1.23882e+18,9.8755589e+29,1.2105615e+30,1
2461268.4,7.9999995,1.04178,0.0040764859,1.04178,1.013401,0.0039531692,1.0145664,1.0049118,0.004916385,1.0080287,0.99418046,0.0043058728,1.0053179,6978.1794,7510.9857,12278.643,8.51202e+17,8.2737119e+29,1.0880533e+30,1
2461268.4,8.2500002,1.0383133,0.0040764859,1.0383133,1.0146375,0.0038703269,1.0136141,0.99944311,0.0037870233,1.0075709,1.0014458,0.005137634,1.0050418,6852.6623,7366.0805,10584.169,1.2325313e+18,7.6146627e+29,8.6397667e+29,1
2461268.4,8.4999995,1.0513285,0.0058316047,1.0513285,1.0155011,0.0042854084,1.0171029,1.0072976,0.0050043851,1.0092295,1.0045721,0.006248621,1.0060355,7295.5157,7878.5757,9051.7804,2.8160561e+18,1.0125243e+30,1.0420591e+30,1
2461268.4,8.7500001,1.0441182,0.0064416626,1.0441182,1.0207097,0.0045027687,1.0151987,1.0080547,0.005431708,1.0083304,1.008833,0.0046744658,1.005499,7059.4547,7604.9611,6178.0191,1.3414839e+19,8.7220216e+29,9.6557671e+29,1
