# AU Mic b | epoca=304 | Setor 95 (2025) | Tc=3903.188596 | T0=1330.390510 | P=8.4631516
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado
3902.93985505 -0.24874135 1.00029602 1.00009209
3902.94124389 -0.24735251 1.00075146 1.00054744
3902.94263274 -0.24596366 1.00032763 1.00012369
3902.94402159 -0.24457481 1.00019113 0.99998722
3902.94541043 -0.24318597 1.00007145 0.99986757
3902.94679928 -0.24179712 0.99981866 0.99961483
3902.94818812 -0.24040828 1.00082452 1.00062048
3902.94957697 -0.23901943 1.00029135 1.00008742
3902.95096581 -0.23763059 1.00016831 0.99996441
3902.95235466 -0.23624174 1.00017516 0.99997126
3902.95374350 -0.23485290 1.00085484 1.00065080
3902.95513235 -0.23346405 1.00048884 1.00028487
3902.95652119 -0.23207521 1.00043383 1.00022987
3902.95791004 -0.23068636 0.99993134 0.99972749
3902.95929888 -0.22929752 1.00045112 1.00024716
3902.96068773 -0.22790867 1.00006422 0.99986034
3902.96207657 -0.22651983 1.00058554 1.00038155
3902.96346542 -0.22513098 1.00051427 1.00031030
3902.96485427 -0.22374213 1.00038201 1.00017806
3902.96624311 -0.22235329 1.00027993 1.00007600
3902.96763196 -0.22096444 0.99989048 0.99968663
3902.96902080 -0.21957560 0.99992870 0.99972485
3902.97040965 -0.21818675 1.00008700 0.99988311
3902.97179849 -0.21679791 1.00070670 1.00050269
3902.97318734 -0.21540906 0.99974757 0.99954375
3902.97457618 -0.21402022 1.00019009 0.99998618
3902.97596503 -0.21263137 1.00030581 1.00010188
3902.97735387 -0.21124253 1.00021538 1.00001147
3902.97874272 -0.20985368 1.00053397 1.00032999
3902.98013156 -0.20846484 1.00029440 1.00009047
3902.98152041 -0.20707599 0.99993284 0.99972899
3902.98290925 -0.20568715 1.00038451 1.00018056
3902.98429810 -0.20429830 0.99993441 0.99973055
3902.98568694 -0.20290946 0.99998908 0.99978521
3902.98707579 -0.20152061 1.00032347 1.00011954
3902.98846464 -0.20013176 1.00023333 1.00002941
3902.98985348 -0.19874292 1.00031819 1.00011426
3902.99124233 -0.19735407 1.00018614 0.99998223
3902.99263117 -0.19596523 1.00021417 1.00001026
3902.99402002 -0.19457638 0.99986232 0.99965848
3902.99540886 -0.19318754 0.99991239 0.99970854
3902.99679771 -0.19179869 1.00046105 1.00025709
3902.99818655 -0.19040985 1.00032974 1.00012580
3902.99957540 -0.18902100 1.00050453 1.00030056
3903.00096424 -0.18763216 1.00020984 1.00000593
3903.00235309 -0.18624331 0.99987215 0.99966831
3903.00374193 -0.18485447 0.99980341 0.99959958
3903.00513078 -0.18346562 1.00013655 0.99993265
3903.00651962 -0.18207678 1.00014927 0.99994537
3903.00790847 -0.18068793 1.00025146 1.00004754
3903.00929731 -0.17929909 0.99969116 0.99948735
3903.01068616 -0.17791024 0.99993273 0.99972888
3903.01207500 -0.17652140 1.00031828 1.00011435
3903.01346385 -0.17513255 0.99990338 0.99969953
3903.01485269 -0.17374371 0.99962651 0.99942272
3903.01624154 -0.17235486 1.00046305 1.00025909
3903.01763039 -0.17096601 0.99998977 0.99978590
3903.01901923 -0.16957717 1.00002754 0.99982367
3903.02040808 -0.16818832 0.99999317 0.99978930
3903.02179692 -0.16679948 0.99989896 0.99969511
3903.02318577 -0.16541063 1.00024848 1.00004456
3903.02457461 -0.16402179 1.00032509 1.00012116
3903.02596346 -0.16263294 1.00011817 0.99991428
3903.02735230 -0.16124410 1.00021056 1.00000665
3903.02874115 -0.15985525 1.00028896 1.00008503
3903.03012999 -0.15846641 1.00045005 1.00024609
3903.03151884 -0.15707756 1.00173285 1.00152863
3903.03290768 -0.15568872 1.00110852 1.00090443
3903.03429653 -0.15429987 1.00156635 1.00136216
3903.03568537 -0.15291103 1.00106624 1.00086215
3903.03707422 -0.15152218 1.00177597 1.00157174
3903.03846306 -0.15013334 1.00092993 1.00072587
3903.03985191 -0.14874449 1.00132057 1.00111643
3903.04124075 -0.14735565 1.00134074 1.00113660
3903.04262960 -0.14596680 1.00111199 1.00090789
3903.04401844 -0.14457796 1.00117685 1.00097274
3903.04540729 -0.14318911 1.00156580 1.00136161
3903.04679613 -0.14180027 1.00111740 1.00091330
3903.04818498 -0.14041142 1.00170528 1.00150106
3903.04957382 -0.13902258 1.00182308 1.00161884
3903.05096267 -0.13763373 1.00114075 1.00093665
3903.05235151 -0.13624489 1.00126754 1.00106341
3903.05374036 -0.13485604 1.00113215 1.00092805
3903.05512920 -0.13346720 1.00083538 1.00063134
3903.05651805 -0.13207835 1.00115754 1.00095344
3903.05790689 -0.13068951 1.00103153 1.00082745
3903.05929574 -0.12930066 1.00113170 1.00092760
3903.06068458 -0.12791182 1.00116963 1.00096552
3903.06207343 -0.12652297 1.00032656 1.00012262
3903.06346227 -0.12513413 1.00038738 1.00018343
3903.06485112 -0.12374528 1.00100474 1.00080067
3903.06623996 -0.12235644 1.00120877 1.00100466
3903.06762881 -0.12096759 1.00099944 1.00079537
3903.06901765 -0.11957875 1.00090493 1.00070088
3903.07040650 -0.11818990 1.00120714 1.00100303
3903.07179534 -0.11680106 1.00110632 1.00090223
3903.07318419 -0.11541221 1.00110515 1.00090106
3903.07457303 -0.11402337 1.00092745 1.00072339
3903.07596188 -0.11263452 1.00126759 1.00106346
3903.07735072 -0.11124568 1.00081816 1.00061412
3903.07873957 -0.10985683 1.00092572 1.00072166
3903.08012841 -0.10846799 1.00060045 1.00039646
3903.08151726 -0.10707914 1.00070689 1.00050288
3903.08290610 -0.10569030 1.00103742 1.00083334
3903.08429495 -0.10430145 1.00125039 1.00104627
3903.08568379 -0.10291261 1.00089961 1.00069556
3903.08707264 -0.10152376 1.00061637 1.00041238
3903.08846148 -0.10013492 1.00096755 1.00076348
3903.08985033 -0.09874607 1.00114198 1.00093788
3903.09123917 -0.09735723 1.00110480 1.00090071
3903.09262802 -0.09596838 1.00067807 1.00047406
3903.09401686 -0.09457954 1.00062865 1.00042465
3903.09540571 -0.09319069 1.00070034 1.00049633
3903.09679455 -0.09180185 1.00108031 1.00087622
3903.09818340 -0.09041300 1.00155639 1.00135220
3903.09957224 -0.08902416 1.00100349 1.00079942
3903.10096109 -0.08763531 1.00072400 1.00051998
3903.10234993 -0.08624647 1.00051281 1.00030884
3903.10373878 -0.08485762 1.00119223 1.00098812
3903.10512762 -0.08346878 1.00120093 1.00099682
3903.10651647 -0.08207993 1.00119705 1.00099294
3903.10790531 -0.08069109 1.00124536 1.00104124
3903.10929416 -0.07930224 1.00080877 1.00060474
3903.11068300 -0.07791340 1.00083391 1.00062987
3903.11207185 -0.07652455 1.00109254 1.00088845
3903.11346069 -0.07513571 1.00103611 1.00083203
3903.11484953 -0.07374687 1.00051409 1.00031012
3903.11623838 -0.07235802 1.00073528 1.00053126
3903.11762722 -0.07096918 1.00084408 1.00064004
3903.11901607 -0.06958033 1.00023578 1.00003186
3903.12040491 -0.06819149 1.00009007 0.99988618
3903.12179376 -0.06680264 0.99971028 0.99950647
3903.12318260 -0.06541380 0.99954555 0.99934177
3903.12457145 -0.06402495 0.99910670 0.99890301
