# AU Mic b | epoca=84 | Setor 27 (2020) | Tc=2041.295244 | T0=1330.390510 | P=8.4631516
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado
2041.04527665 -0.24996775 1.00002458 1.00005638
2041.04666557 -0.24857883 0.99952298 0.99955477
2041.04805450 -0.24718990 0.99973103 0.99976282
2041.04944342 -0.24580098 1.00007307 1.00010488
2041.05083235 -0.24441205 1.00005084 1.00008265
2041.05222127 -0.24302313 0.99958411 0.99961589
2041.05361019 -0.24163421 1.00004143 1.00007323
2041.05499912 -0.24024528 0.99957796 0.99960974
2041.05638804 -0.23885636 0.99976582 0.99979762
2041.05777697 -0.23746743 0.99945901 0.99949080
2041.05916589 -0.23607851 0.99931837 0.99935015
2041.06055482 -0.23468958 0.99986312 0.99989491
2041.06194374 -0.23330066 1.00069513 1.00072696
2041.06333267 -0.23191173 0.99918556 0.99921734
2041.06472159 -0.23052281 0.99930710 0.99933888
2041.06611052 -0.22913388 0.99936539 0.99939717
2041.06749944 -0.22774496 1.00054020 1.00057202
2041.06888837 -0.22635603 0.99965982 0.99969161
2041.07027729 -0.22496711 0.99975672 0.99978851
2041.07166622 -0.22357818 0.99991368 0.99994548
2041.07305514 -0.22218926 0.99967532 0.99970711
2041.07444407 -0.22080033 0.99982438 0.99985617
2041.07583299 -0.21941141 0.99994903 0.99998083
2041.07722191 -0.21802249 1.00014857 1.00018038
2041.07861084 -0.21663356 1.00004945 1.00008125
2041.07999976 -0.21524464 1.00047746 1.00050927
2041.08138869 -0.21385571 0.99973669 0.99976848
2041.08277761 -0.21246679 0.99989467 0.99992647
2041.08416654 -0.21107786 1.00037231 1.00040412
2041.08555546 -0.20968894 0.99956090 0.99959269
2041.08694439 -0.20830001 0.99991389 0.99994569
2041.08833331 -0.20691109 0.99963822 0.99967001
2041.08972224 -0.20552216 0.99951409 0.99954588
2041.09111116 -0.20413324 1.00015799 1.00018980
2041.09250009 -0.20274431 1.00033694 1.00036875
2041.09388901 -0.20135539 1.00106999 1.00110182
2041.09527794 -0.19996646 1.00006506 1.00009686
2041.09666686 -0.19857754 1.00115320 1.00118504
2041.09805579 -0.19718861 1.00081377 1.00084559
2041.09944471 -0.19579969 1.00047844 1.00051025
2041.10083363 -0.19441077 1.00017666 1.00020847
2041.10222256 -0.19302184 1.00008778 1.00011959
2041.10361148 -0.19163292 1.00022503 1.00025684
2041.10500041 -0.19024399 1.00033003 1.00036184
2041.10638933 -0.18885507 0.99995421 0.99998601
2041.10777826 -0.18746614 0.99995013 0.99998193
2041.10916718 -0.18607722 1.00068988 1.00072170
2041.11055611 -0.18468829 1.00037806 1.00040987
2041.11194503 -0.18329937 1.00029490 1.00032671
2041.11333396 -0.18191044 1.00047162 1.00050344
2041.11472288 -0.18052152 1.00026985 1.00030166
2041.11611181 -0.17913259 1.00034621 1.00037802
2041.11750073 -0.17774367 1.00026671 1.00029852
2041.11888966 -0.17635474 1.00061489 1.00064671
2041.12027858 -0.17496582 1.00004516 1.00007696
2041.12166750 -0.17357690 1.00067906 1.00071088
2041.12305643 -0.17218797 1.00034336 1.00037518
2041.12444535 -0.17079905 1.00112916 1.00116100
2041.12583428 -0.16941012 1.00072939 1.00076122
2041.12722320 -0.16802120 1.00075617 1.00078799
2041.12861213 -0.16663227 1.00002616 1.00005796
2041.13000105 -0.16524335 1.00022055 1.00025236
2041.13138998 -0.16385442 0.99997628 1.00000809
2041.13277890 -0.16246550 1.00002561 1.00005741
2041.13416783 -0.16107657 1.00021753 1.00024934
2041.13555675 -0.15968765 1.00016626 1.00019806
2041.13694568 -0.15829872 0.99978189 0.99981369
2041.13833460 -0.15690980 1.00017087 1.00020267
2041.13972352 -0.15552088 0.99976186 0.99979365
2041.14111245 -0.15413195 0.99966796 0.99969975
2041.14250137 -0.15274303 1.00018465 1.00021646
2041.14389030 -0.15135410 1.00046368 1.00049550
2041.14527922 -0.14996518 1.00032861 1.00036042
2041.14666815 -0.14857625 0.99993178 0.99996358
2041.14805707 -0.14718733 0.99952727 0.99955905
2041.14944600 -0.14579840 1.00030424 1.00033605
2041.15083492 -0.14440948 0.99996708 0.99999888
2041.15222385 -0.14302055 1.00008692 1.00011872
2041.15361277 -0.14163163 1.00008571 1.00011752
2041.15500170 -0.14024270 1.00053127 1.00056309
2041.15639062 -0.13885378 1.00017992 1.00021173
2041.15777954 -0.13746486 0.99986367 0.99989547
2041.15916847 -0.13607593 0.99931889 0.99935067
2041.16055739 -0.13468701 0.99996300 0.99999480
2041.16194632 -0.13329808 1.00013747 1.00016928
2041.16333524 -0.13190916 0.99971250 0.99974429
2041.16472417 -0.13052023 0.99984397 0.99987577
2041.16611309 -0.12913131 1.00015010 1.00018191
2041.16750202 -0.12774238 1.00002959 1.00006139
2041.16889094 -0.12635346 0.99975106 0.99978286
2041.17027987 -0.12496453 0.99947701 0.99950880
2041.17166879 -0.12357561 0.99918577 0.99921755
2041.17305772 -0.12218668 1.00041731 1.00044913
2041.17444664 -0.12079776 0.99996944 1.00000124
2041.17583556 -0.11940884 0.99900635 0.99903812
2041.17722449 -0.11801991 0.99928984 0.99932161
2041.17861341 -0.11663099 0.99956173 0.99959352
2041.18000234 -0.11524206 0.99986717 0.99989896
2041.18139126 -0.11385314 0.99946753 0.99949932
2041.18278019 -0.11246421 0.99981591 0.99984770
2041.18416911 -0.11107529 0.99970290 0.99973469
2041.18555804 -0.10968636 1.00016408 1.00019588
2041.18694696 -0.10829744 0.99964274 0.99967453
2041.18833589 -0.10690851 0.99990516 0.99993696
2041.18972481 -0.10551959 0.99948801 0.99951980
2041.19111373 -0.10413067 0.99985570 0.99988749
2041.19250266 -0.10274174 0.99936311 0.99939489
2041.19389158 -0.10135282 0.99949674 0.99952853
2041.19528051 -0.09996389 0.99932351 0.99935529
2041.19666943 -0.09857497 0.99944316 0.99947494
2041.19805836 -0.09718604 0.99993030 0.99996210
2041.19944728 -0.09579712 0.99984084 0.99987264
2041.20083621 -0.09440819 0.99950399 0.99953578
2041.20222513 -0.09301927 0.99961523 0.99964702
2041.20361405 -0.09163035 0.99949991 0.99953169
2041.20500298 -0.09024142 0.99967326 0.99970505
2041.20639190 -0.08885250 0.99967009 0.99970189
2041.20778083 -0.08746357 0.99940447 0.99943626
2041.20916975 -0.08607465 0.99965121 0.99968300
2041.21055868 -0.08468572 0.99885709 0.99888886
2041.21194760 -0.08329680 0.99932212 0.99935390
2041.21333653 -0.08190787 0.99856216 0.99859392
2041.21472545 -0.08051895 0.99798938 0.99802112
2041.21611438 -0.07913002 0.99820762 0.99823937
2041.21750330 -0.07774110 0.99794093 0.99797266
2041.21889222 -0.07635218 0.99764900 0.99768073
2041.22028115 -0.07496325 0.99703309 0.99706480
2041.22167007 -0.07357433 0.99764374 0.99767547
2041.22305900 -0.07218540 0.99693849 0.99697020
2041.22444792 -0.07079648 0.99693106 0.99696277
2041.22583685 -0.06940755 0.99726712 0.99729883
2041.22722577 -0.06801863 0.99752903 0.99756075
2041.22861470 -0.06662970 0.99641271 0.99644440
2041.23000362 -0.06524078 0.99636317 0.99639485
2041.23139254 -0.06385186 0.99670555 0.99673725
2041.23278147 -0.06246293 0.99648270 0.99651439
2041.23417039 -0.06107401 0.99638134 0.99641303
2041.23555932 -0.05968508 0.99644648 0.99647817
2041.23694824 -0.05829616 0.99719945 0.99723116
2041.23833717 -0.05690723 0.99717259 0.99720430
2041.23972609 -0.05551831 0.99700007 0.99703178
2041.24111502 -0.05412938 0.99730613 0.99733784
2041.24250394 -0.05274046 0.99674131 0.99677301
2041.24389287 -0.05135153 0.99661864 0.99665033
2041.24528179 -0.04996261 0.99692969 0.99696139
2041.24667071 -0.04857369 0.99627788 0.99630957
2041.24805964 -0.04718476 0.99681451 0.99684621
2041.24944856 -0.04579584 0.99635493 0.99638661
2041.25083749 -0.04440691 0.99640550 0.99643719
2041.25222641 -0.04301799 0.99627779 0.99630947
2041.25361534 -0.04162906 0.99627497 0.99630665
2041.25500426 -0.04024014 0.99614414 0.99617582
2041.25639319 -0.03885121 0.99696327 0.99699498
2041.25778211 -0.03746229 0.99674729 0.99677898
2041.25917103 -0.03607337 0.99709710 0.99712881
2041.26055996 -0.03468444 0.99707412 0.99710583
2041.26194888 -0.03329552 0.99696890 0.99700061
2041.26333781 -0.03190659 0.99664993 0.99668163
2041.26472673 -0.03051767 0.99660093 0.99663263
2041.26611566 -0.02912874 0.99611806 0.99614973
2041.26750458 -0.02773982 0.99712870 0.99716041
2041.26889351 -0.02635089 0.99689293 0.99692463
2041.27028243 -0.02496197 0.99702852 0.99706022
2041.27167135 -0.02357305 0.99730692 0.99733863
2041.27306028 -0.02218412 0.99675513 0.99678683
2041.27444920 -0.02079520 0.99734416 0.99737587
2041.27583813 -0.01940627 0.99711203 0.99714374
2041.27722705 -0.01801735 0.99704752 0.99707923
2041.27861598 -0.01662842 0.99670374 0.99673544
2041.28000490 -0.01523950 0.99666999 0.99670168
2041.28139383 -0.01385057 0.99649989 0.99653158
2041.28278275 -0.01246165 0.99683872 0.99687043
2041.28417167 -0.01107273 0.99684000 0.99687170
2041.28556060 -0.00968380 0.99674671 0.99677841
