# AU Mic b - todos os transitos extraidos dos setores 1 e 27
# T0_ref=1330.390510  P_ref=8.4631516  janela=+/-0.25 d  N_transitos=5  N_pontos=1739
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado  epoca  setor
1330.26110920 -0.12940080 1.00014268 1.00017718 0 12018
1330.26249809 -0.12801191 0.99966124 0.99969572 0 12018
1330.26388697 -0.12662303 0.99993192 0.99996641 0 12018
1330.26527585 -0.12523415 0.99964696 0.99968143 0 12018
1330.26666473 -0.12384527 0.99970358 0.99973806 0 12018
1330.26805361 -0.12245639 1.00009860 1.00013309 0 12018
1330.26944249 -0.12106751 1.00006906 1.00010355 0 12018
1330.27083137 -0.11967863 1.00015100 1.00018549 0 12018
1330.27222026 -0.11828974 0.99987142 0.99990590 0 12018
1330.27360914 -0.11690086 1.00031908 1.00035358 0 12018
1330.27499802 -0.11551198 0.99983727 0.99987175 0 12018
1330.27638690 -0.11412310 0.99934449 0.99937895 0 12018
1330.27777578 -0.11273422 0.99979502 0.99982950 0 12018
1330.27916466 -0.11134534 0.99995977 0.99999425 0 12018
1330.28055355 -0.10995645 0.99994831 0.99998280 0 12018
1330.28194243 -0.10856757 0.99976197 0.99979645 0 12018
1330.28333131 -0.10717869 1.00002887 1.00006335 0 12018
1330.28472019 -0.10578981 0.99970954 0.99974402 0 12018
1330.28610907 -0.10440093 1.00004609 1.00008058 0 12018
1330.28749795 -0.10301205 0.99915977 0.99919423 0 12018
1330.28888683 -0.10162317 1.00004555 1.00008004 0 12018
1330.29027571 -0.10023429 1.00000717 1.00004166 0 12018
1330.29166460 -0.09884540 0.99912345 0.99915791 0 12018
1330.29305348 -0.09745652 0.99983038 0.99986486 0 12018
1330.29444236 -0.09606764 0.99996375 0.99999824 0 12018
1330.29583124 -0.09467876 0.99966857 0.99970305 0 12018
1330.29722012 -0.09328988 0.99974782 0.99978230 0 12018
1330.29860900 -0.09190100 0.99964918 0.99968366 0 12018
1330.29999789 -0.09051211 0.99984617 0.99988065 0 12018
1330.30138677 -0.08912323 0.99977755 0.99981203 0 12018
1330.30277565 -0.08773435 0.99949142 0.99952589 0 12018
1330.30416453 -0.08634547 0.99924572 0.99928018 0 12018
1330.30555341 -0.08495659 0.99986065 0.99989513 0 12018
1330.30694229 -0.08356771 0.99953720 0.99957167 0 12018
1330.30833117 -0.08217883 0.99960334 0.99963781 0 12018
1330.30972006 -0.08078994 0.99954226 0.99957673 0 12018
1330.31110894 -0.07940106 1.00024313 1.00027762 0 12018
1330.31249782 -0.07801218 1.00005908 1.00009357 0 12018
1330.31388670 -0.07662330 0.99963196 0.99966643 0 12018
1330.31527558 -0.07523442 1.00015081 1.00018530 0 12018
1330.31666446 -0.07384554 0.99966551 0.99969998 0 12018
1330.31805334 -0.07245666 0.99990061 0.99993509 0 12018
1330.31944223 -0.07106777 0.99973406 0.99976854 0 12018
1330.32083111 -0.06967889 0.99886126 0.99889571 0 12018
1330.32221999 -0.06829001 0.99834187 0.99837630 0 12018
1330.32360887 -0.06690113 0.99764199 0.99767639 0 12018
1330.32499775 -0.06551225 0.99756493 0.99759934 0 12018
1330.32638663 -0.06412337 0.99654208 0.99657645 0 12018
1330.32777551 -0.06273449 0.99778377 0.99781818 0 12018
1330.32916440 -0.06134560 0.99642323 0.99645759 0 12018
1330.33055328 -0.05995672 0.99676155 0.99679592 0 12018
1330.33194216 -0.05856784 0.99726656 0.99730095 0 12018
1330.33333104 -0.05717896 0.99688304 0.99691742 0 12018
1330.33471992 -0.05579008 0.99634865 0.99638301 0 12018
1330.33610880 -0.05440120 0.99697063 0.99700502 0 12018
1330.33749768 -0.05301232 0.99653454 0.99656891 0 12018
1330.33888656 -0.05162344 0.99677284 0.99680721 0 12018
1330.34027545 -0.05023455 0.99713650 0.99717089 0 12018
1330.34166433 -0.04884567 0.99735154 0.99738594 0 12018
1330.35277538 -0.03773462 0.99685349 0.99688786 0 12018
1330.35416426 -0.03634574 0.99717361 0.99720799 0 12018
1330.35555314 -0.03495686 0.99681644 0.99685081 0 12018
1330.35694202 -0.03356798 0.99662487 0.99665924 0 12018
1330.35833090 -0.03217910 0.99709824 0.99713263 0 12018
1330.35971979 -0.03079021 0.99665756 0.99669193 0 12018
1330.36110867 -0.02940133 0.99692794 0.99696232 0 12018
1330.36249755 -0.02801245 0.99656658 0.99660094 0 12018
1330.36388643 -0.02662357 0.99691879 0.99695317 0 12018
1330.36527531 -0.02523469 0.99656050 0.99659487 0 12018
1330.36666419 -0.02384581 0.99641545 0.99644981 0 12018
1330.36805307 -0.02245693 0.99600124 0.99603558 0 12018
1330.36944196 -0.02106804 0.99675629 0.99679066 0 12018
1330.37083084 -0.01967916 0.99720213 0.99723652 0 12018
1330.37221972 -0.01829028 0.99745412 0.99748852 0 12018
1330.37360860 -0.01690140 0.99742998 0.99746438 0 12018
1330.37499748 -0.01551252 0.99730432 0.99733871 0 12018
1330.37638636 -0.01412364 0.99713679 0.99717117 0 12018
1330.37777524 -0.01273476 0.99759058 0.99762498 0 12018
1330.37916412 -0.01134588 0.99745431 0.99748871 0 12018
1330.38055301 -0.00995699 0.99752907 0.99756347 0 12018
1330.38194189 -0.00856811 0.99696947 0.99700386 0 12018
1330.38333077 -0.00717923 0.99709845 0.99713284 0 12018
1330.38471965 -0.00579035 0.99727139 0.99730578 0 12018
1330.38610853 -0.00440147 0.99669982 0.99673419 0 12018
1330.38749741 -0.00301259 0.99650176 0.99653613 0 12018
1330.38888629 -0.00162371 0.99682728 0.99686165 0 12018
1330.39027517 -0.00023483 0.99665219 0.99668656 0 12018
1330.39166406 0.00115406 0.99676704 0.99680141 0 12018
1330.39305294 0.00254294 0.99679049 0.99682487 0 12018
1330.39444182 0.00393182 0.99664104 0.99667541 0 12018
1330.39583070 0.00532070 0.99617693 0.99621129 0 12018
1330.39721958 0.00670958 0.99649719 0.99653156 0 12018
1330.39860846 0.00809846 0.99681875 0.99685313 0 12018
1330.39999734 0.00948734 0.99592622 0.99596056 0 12018
1330.40138623 0.01087623 0.99640427 0.99643864 0 12018
1330.40277511 0.01226511 0.99638237 0.99641673 0 12018
1330.40416399 0.01365399 0.99660728 0.99664165 0 12018
1330.40555287 0.01504287 0.99695280 0.99698718 0 12018
1330.40694175 0.01643175 0.99693843 0.99697281 0 12018
1330.40833063 0.01782063 0.99728869 0.99732308 0 12018
1330.40971951 0.01920951 0.99754289 0.99757730 0 12018
1330.41110839 0.02059839 0.99714808 0.99718247 0 12018
1330.41249728 0.02198728 0.99709981 0.99713419 0 12018
1330.41388616 0.02337616 0.99682800 0.99686238 0 12018
1330.41527504 0.02476504 0.99652789 0.99656226 0 12018
1330.41666392 0.02615392 0.99609891 0.99613326 0 12018
1330.41805280 0.02754280 0.99640819 0.99644255 0 12018
1330.41944168 0.02893168 0.99616386 0.99619822 0 12018
1330.42083056 0.03032056 0.99680200 0.99683638 0 12018
1330.42221944 0.03170944 0.99599379 0.99602813 0 12018
1330.42360833 0.03309833 0.99641516 0.99644953 0 12018
1330.42499721 0.03448721 0.99675922 0.99679360 0 12018
1330.42638609 0.03587609 0.99700282 0.99703721 0 12018
1330.42777497 0.03726497 0.99676608 0.99680045 0 12018
1330.42916385 0.03865385 0.99644075 0.99647511 0 12018
1330.43055273 0.04004273 0.99758462 0.99761902 0 12018
1330.43194161 0.04143161 0.99684107 0.99687545 0 12018
1330.43333049 0.04282049 0.99713143 0.99716582 0 12018
1330.43471938 0.04420938 0.99687356 0.99690794 0 12018
1330.43610826 0.04559826 0.99752447 0.99755887 0 12018
1330.43749714 0.04698714 0.99774932 0.99778373 0 12018
1330.43888602 0.04837602 0.99693705 0.99697143 0 12018
1330.44027490 0.04976490 0.99722930 0.99726369 0 12018
1330.44166378 0.05115378 0.99713144 0.99716583 0 12018
1330.44305266 0.05254266 0.99722726 0.99726165 0 12018
1330.44444154 0.05393154 0.99754570 0.99758010 0 12018
1330.44583043 0.05532043 0.99747993 0.99751433 0 12018
1330.44721931 0.05670931 0.99777640 0.99781081 0 12018
1330.44860819 0.05809819 0.99728567 0.99732006 0 12018
1330.44999707 0.05948707 0.99727474 0.99730913 0 12018
1330.45138595 0.06087595 1.00055546 1.00058997 0 12018
1330.45416371 0.06365371 1.00070181 1.00073633 0 12018
1330.45555259 0.06504259 1.00092989 1.00096441 0 12018
1330.45694148 0.06643148 1.00077692 1.00081143 0 12018
1330.45833036 0.06782036 1.00024388 1.00027838 0 12018
1330.45971924 0.06920924 1.00038551 1.00042001 0 12018
1330.46110812 0.07059812 1.00029889 1.00033339 0 12018
1330.46249700 0.07198700 1.00079432 1.00082883 0 12018
1330.46388588 0.07337588 1.00070085 1.00073536 0 12018
1330.46527476 0.07476476 1.00092343 1.00095795 0 12018
1330.46666364 0.07615364 1.00062247 1.00065697 0 12018
1330.46805253 0.07754253 1.00043507 1.00046957 0 12018
