# AU Mic b | epoca=86 | Setor 27 (2020) | Tc=2058.221548 | T0=1330.390510 | P=8.4631516
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado
2057.97189650 -0.24965110 1.00057816 1.00055438
2057.97328539 -0.24826221 1.00055990 1.00053612
2057.97467428 -0.24687332 1.00021602 1.00019225
2057.97606317 -0.24548443 0.99972581 0.99970205
2057.97745206 -0.24409554 0.99993252 0.99990875
2057.97884096 -0.24270664 0.99994391 0.99992014
2057.98022985 -0.24131775 1.00014436 1.00012058
2057.98161874 -0.23992886 1.00001748 0.99999370
2057.98300763 -0.23853997 1.00025403 1.00023025
2057.98439652 -0.23715108 0.99997614 0.99995237
2057.98578541 -0.23576219 0.99963537 0.99961160
2057.98717430 -0.23437330 1.00014583 1.00012205
2057.98856319 -0.23298441 0.99997965 0.99995588
2057.98995208 -0.23159552 0.99921796 0.99919421
2057.99134097 -0.23020663 1.00031158 1.00028780
2057.99272986 -0.22881774 1.00000991 0.99998614
2057.99411875 -0.22742885 1.00021910 1.00019532
2057.99550764 -0.22603996 1.00088352 1.00085973
2057.99689653 -0.22465107 1.00053013 1.00050635
2057.99828542 -0.22326218 1.00025034 1.00022656
2057.99967431 -0.22187329 1.00033626 1.00031248
2058.00106321 -0.22048439 1.00036235 1.00033857
2058.00245210 -0.21909550 1.00061887 1.00059508
2058.00384099 -0.21770661 0.99981805 0.99979428
2058.00522988 -0.21631772 0.99974786 0.99972410
2058.00661877 -0.21492883 1.00000578 0.99998200
2058.00800766 -0.21353994 0.99987472 0.99985095
2058.00939655 -0.21215105 1.00019750 1.00017372
2058.01078544 -0.21076216 0.99987741 0.99985364
2058.01217433 -0.20937327 1.00001221 0.99998843
2058.01356322 -0.20798438 0.99993752 0.99991375
2058.01495211 -0.20659549 0.99962999 0.99960622
2058.01634100 -0.20520660 0.99968017 0.99965641
2058.01772989 -0.20381771 0.99972479 0.99970102
2058.01911878 -0.20242882 0.99992321 0.99989944
2058.02050767 -0.20103993 0.99980577 0.99978200
2058.02189656 -0.19965104 0.99953308 0.99950932
2058.02328546 -0.19826214 0.99943663 0.99941287
2058.02467435 -0.19687325 1.00015921 1.00013543
2058.02606324 -0.19548436 0.99939870 0.99937494
2058.02745213 -0.19409547 0.99942038 0.99939662
2058.02884102 -0.19270658 1.00018055 1.00015677
2058.03022991 -0.19131769 0.99942574 0.99940198
2058.03161880 -0.18992880 0.99947004 0.99944628
2058.03300769 -0.18853991 0.99941484 0.99939108
2058.03439658 -0.18715102 0.99979509 0.99977132
2058.03578547 -0.18576213 1.00053471 1.00051092
2058.03717436 -0.18437324 0.99975851 0.99973474
2058.03856325 -0.18298435 0.99999418 0.99997041
2058.03995214 -0.18159546 1.00019772 1.00017395
2058.04134103 -0.18020657 0.99985452 0.99983075
2058.04272992 -0.17881768 0.99962400 0.99960024
2058.04411881 -0.17742879 0.99972187 0.99969810
2058.04550770 -0.17603990 1.00000533 0.99998156
2058.04689660 -0.17465100 1.00021794 1.00019416
2058.04828549 -0.17326211 1.00029710 1.00027332
2058.04967438 -0.17187322 0.99972557 0.99970180
2058.05106327 -0.17048433 1.00016271 1.00013893
2058.05245216 -0.16909544 0.99928998 0.99926623
2058.05384105 -0.16770655 0.99949015 0.99946639
2058.05522994 -0.16631766 1.00015835 1.00013458
2058.05661883 -0.16492877 0.99976549 0.99974172
2058.05800772 -0.16353988 0.99945493 0.99943117
2058.05939661 -0.16215099 0.99913672 0.99911296
2058.06078550 -0.16076210 0.99991951 0.99989574
2058.06217439 -0.15937321 0.99942557 0.99940181
2058.06356328 -0.15798432 0.99972094 0.99969717
2058.06495217 -0.15659543 0.99906254 0.99903878
2058.06634106 -0.15520654 0.99879439 0.99877064
2058.06772995 -0.15381765 0.99916721 0.99914346
2058.06911884 -0.15242876 0.99948724 0.99946348
2058.07050773 -0.15103987 1.00064856 1.00062477
2058.07189663 -0.14965097 1.00123921 1.00121541
2058.07328552 -0.14826208 1.00101114 1.00098734
2058.07467441 -0.14687319 1.00083176 1.00080797
2058.07606330 -0.14548430 1.00151166 1.00148785
2058.07745219 -0.14409541 1.00041186 1.00038808
2058.07884108 -0.14270652 1.00056103 1.00053724
2058.08022997 -0.14131763 1.00073467 1.00071088
2058.08161886 -0.13992874 1.00027983 1.00025605
2058.08300775 -0.13853985 1.00050745 1.00048367
2058.08439664 -0.13715096 1.00033262 1.00030884
2058.08578553 -0.13576207 1.00021795 1.00019417
2058.08717442 -0.13437318 1.00043650 1.00041272
2058.08856331 -0.13298429 1.00002640 1.00000262
2058.08995220 -0.13159540 1.00079421 1.00077042
2058.09134109 -0.13020651 1.00020058 1.00017680
2058.09272998 -0.12881762 1.00016184 1.00013806
2058.09411887 -0.12742873 0.99980088 0.99977711
2058.09550776 -0.12603984 1.00004921 1.00002543
2058.09689665 -0.12465095 0.99976112 0.99973735
2058.09828555 -0.12326205 1.00005624 1.00003246
2058.09967444 -0.12187316 1.00017388 1.00015010
2058.10106333 -0.12048427 1.00074675 1.00072295
2058.10245222 -0.11909538 0.99985131 0.99982754
2058.10384111 -0.11770649 1.00023683 1.00021306
2058.10523000 -0.11631760 0.99970019 0.99967642
2058.10661889 -0.11492871 1.00027488 1.00025110
2058.10800778 -0.11353982 1.00004125 1.00001748
2058.10939667 -0.11215093 1.00068176 1.00065797
2058.11078556 -0.11076204 1.00013686 1.00011308
2058.11217445 -0.10937315 1.00022473 1.00020096
2058.11356334 -0.10798426 1.00044487 1.00042109
2058.11495223 -0.10659537 0.99974811 0.99972434
2058.11634112 -0.10520648 1.00018134 1.00015756
2058.11773001 -0.10381759 0.99961142 0.99958765
2058.11911890 -0.10242870 0.99967266 0.99964890
2058.12050779 -0.10103981 0.99926689 0.99924313
2058.12189668 -0.09965092 0.99977450 0.99975074
2058.12328557 -0.09826203 0.99925934 0.99923558
2058.12467447 -0.09687313 0.99951428 0.99949052
2058.12606336 -0.09548424 0.99926594 0.99924219
