# AU Mic b | epoca=85 | Setor 27 (2020) | Tc=2049.758396 | T0=1330.390510 | P=8.4631516
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado
2049.50934929 -0.24904671 1.00032613 1.00033902
2049.51073819 -0.24765781 0.99970504 0.99971792
2049.51212710 -0.24626890 1.00031231 1.00032520
2049.51351600 -0.24488000 0.99960478 0.99961766
2049.51490490 -0.24349110 1.00022721 1.00024010
2049.51629381 -0.24210219 1.00037655 1.00038945
2049.51768271 -0.24071329 1.00031329 1.00032618
2049.51907161 -0.23932439 1.00060266 1.00061555
2049.52046052 -0.23793548 1.00055436 1.00056725
2049.52184942 -0.23654658 1.00022902 1.00024191
2049.52323832 -0.23515768 1.00052023 1.00053312
2049.52462723 -0.23376877 1.00024416 1.00025705
2049.52601613 -0.23237987 1.00026290 1.00027579
2049.52740503 -0.23099097 1.00045664 1.00046953
2049.52879394 -0.22960206 0.99983223 0.99984512
2049.53018284 -0.22821316 1.00035081 1.00036370
2049.53157174 -0.22682426 1.00051610 1.00052900
2049.53296065 -0.22543535 0.99966191 0.99967480
2049.53434955 -0.22404645 0.99980020 0.99981309
2049.53573845 -0.22265755 0.99985510 0.99986798
2049.53712736 -0.22126864 0.99987537 0.99988826
2049.53851626 -0.21987974 1.00024008 1.00025297
2049.53990516 -0.21849084 1.00031555 1.00032844
2049.54129407 -0.21710193 0.99995539 0.99996827
2049.54268297 -0.21571303 0.99952427 0.99953715
2049.54407187 -0.21432413 0.99966841 0.99968129
2049.54546078 -0.21293522 0.99980892 0.99982180
2049.54684968 -0.21154632 0.99971930 0.99973219
2049.54823858 -0.21015742 0.99962420 0.99963708
2049.54962749 -0.20876851 0.99987896 0.99989185
2049.55101639 -0.20737961 0.99967092 0.99968381
2049.55240529 -0.20599071 0.99927513 0.99928800
2049.55379420 -0.20460180 0.99973498 0.99974786
2049.55518310 -0.20321290 0.99994484 0.99995773
2049.55657200 -0.20182400 0.99954605 0.99955894
2049.55796091 -0.20043509 0.99958174 0.99959462
2049.55934981 -0.19904619 0.99977759 0.99979047
2049.56073871 -0.19765729 0.99974957 0.99976246
2049.56212762 -0.19626838 1.00026972 1.00028261
2049.56351652 -0.19487948 0.99998360 0.99999648
2049.56490542 -0.19349058 0.99969855 0.99971144
2049.56629433 -0.19210167 0.99991302 0.99992591
2049.56768323 -0.19071277 0.99986460 0.99987749
2049.56907213 -0.18932387 0.99969172 0.99970460
2049.57046104 -0.18793496 0.99943598 0.99944886
2049.57184994 -0.18654606 0.99975790 0.99977079
2049.57323884 -0.18515716 1.00003623 1.00004912
2049.57462775 -0.18376825 0.99979632 0.99980921
2049.57601665 -0.18237935 0.99956053 0.99957342
2049.57740555 -0.18099045 1.00028873 1.00030162
2049.57879446 -0.17960154 0.99966730 0.99968019
2049.58018336 -0.17821264 1.00023504 1.00024793
2049.58157226 -0.17682374 1.00003240 1.00004529
2049.58296117 -0.17543483 0.99970439 0.99971728
2049.58435007 -0.17404593 0.99942714 0.99944002
2049.58573897 -0.17265703 1.00027874 1.00029163
2049.58712788 -0.17126812 1.00018101 1.00019390
2049.58851678 -0.16987922 1.00016837 1.00018126
2049.58990568 -0.16849032 0.99964115 0.99965403
2049.59129459 -0.16710141 1.00047417 1.00048706
2049.59268349 -0.16571251 0.99992014 0.99993302
2049.59407239 -0.16432361 0.99970592 0.99971880
2049.59546130 -0.16293470 1.00001972 1.00003261
2049.59685020 -0.16154580 1.00055037 1.00056327
2049.59823910 -0.16015690 0.99966467 0.99967756
2049.59962801 -0.15876799 0.99985001 0.99986289
2049.60101691 -0.15737909 1.00011328 1.00012617
2049.60240581 -0.15599019 1.00008860 1.00010149
2049.60379472 -0.15460128 1.00013403 1.00014692
2049.60518362 -0.15321238 1.00024643 1.00025932
2049.60657252 -0.15182348 0.99991587 0.99992876
2049.60796142 -0.15043458 0.99998720 1.00000009
2049.60935033 -0.14904567 0.99983334 0.99984622
2049.61073923 -0.14765677 1.00012268 1.00013557
2049.61212813 -0.14626787 1.00009993 1.00011282
2049.61351704 -0.14487896 0.99998704 0.99999993
2049.61490594 -0.14349006 0.99952400 0.99953688
2049.61629484 -0.14210116 0.99997883 0.99999172
2049.61768375 -0.14071225 0.99987468 0.99988756
2049.61907265 -0.13932335 1.00009571 1.00010860
2049.62046155 -0.13793445 0.99980568 0.99981857
2049.62185046 -0.13654554 0.99992738 0.99994027
2049.62323936 -0.13515664 1.00012351 1.00013640
2049.62462826 -0.13376774 0.99960993 0.99962282
2049.62601717 -0.13237883 1.00013475 1.00014764
2049.62740607 -0.13098993 0.99999380 1.00000669
2049.62879497 -0.12960103 1.00022507 1.00023796
2049.63018388 -0.12821212 1.00015204 1.00016493
2049.63157278 -0.12682322 0.99999741 1.00001030
2049.63296168 -0.12543432 0.99998249 0.99999538
2049.63435059 -0.12404541 0.99981872 0.99983160
2049.63573949 -0.12265651 0.99984777 0.99986066
2049.63712839 -0.12126761 0.99977516 0.99978804
2049.63851729 -0.11987871 1.00029973 1.00031262
2049.63990620 -0.11848980 0.99962059 0.99963347
2049.64129510 -0.11710090 1.00022379 1.00023668
2049.64268400 -0.11571200 1.00040189 1.00041478
2049.64407291 -0.11432309 1.00021445 1.00022734
2049.64546181 -0.11293419 1.00048871 1.00050160
2049.64685071 -0.11154529 0.99994606 0.99995895
