# tempo_BTJD  fluxo
3884.41929466  0.99756503
3884.42068356  0.99730265
3884.42207245  0.99689132
3884.42346134  0.99697304
3884.42485024  0.99656832
3884.42623913  0.99697536
3884.42762803  0.99590236
3884.42901692  0.99616677
3884.43040581  0.99689567
3884.43179471  0.99593633
3884.43318360  0.99628800
3884.43457249  0.99569136
3884.43596139  0.99555057
3884.43735028  0.99592888
3884.43873918  0.99559522
3884.44012807  0.99553019
3884.44151696  0.99563307
3884.44290586  0.99597895
3884.44429475  0.99584085
3884.44568365  0.99490905
3884.44707254  0.99403375
3884.44846143  0.99456149
3884.44985033  0.99479198
3884.45123922  0.99499899
3884.45262812  0.99395299
3884.45401701  0.99367267
3884.45540590  0.99422681
3884.45679480  0.99392277
3884.45818369  0.99379158
3884.45957258  0.99341601
3884.46096148  0.99348330
3884.46235037  0.99301928
3884.46373927  0.99356174
3884.46512816  0.99429208
3884.46651705  0.99319291
3884.46790595  0.99302804
3884.46929484  0.99236655
3884.47068373  0.99231893
3884.47207263  0.99262774
3884.47346152  0.99249697
3884.47485042  0.99214041
3884.47623931  0.99271810
3884.47762820  0.99177241
3884.47901710  0.99235624
3884.48040599  0.99154198
3884.48179488  0.99185538
3884.48318378  0.99121696
3884.48457267  0.99153078
3884.48596157  0.99187291
3884.48735046  0.99108785
3884.48873935  0.99106687
3884.49012825  0.99119288
3884.49151714  0.99151313
3884.49290603  0.99144065
3884.49429493  0.99070519
3884.49568382  0.99073261
3884.49707272  0.99040991
3884.49846161  0.99051726
