# tempo_BTJD  residuo_normalizado
3883.13873225  0.99988148
3883.14012114  1.00006178
3883.14151004  0.99973100
3883.14289894  1.00051441
3883.14428784  0.99995865
3883.14567674  1.00037936
3883.14706563  0.99983394
3883.14845453  0.99997105
3883.14984343  1.00030027
3883.15123233  0.99989473
3883.15262123  1.00053147
3883.15401013  1.00008783
3883.15539902  1.00055223
3883.15678792  1.00036430
3883.15817682  0.99998812
3883.15956572  1.00064620
3883.16095462  1.00053186
3883.16234352  0.99977451
3883.16373241  1.00093950
3883.16512131  0.99974813
3883.16651021  1.00026296
3883.16789911  0.99997132
3883.16928801  1.00035384
3883.17067691  0.99986797
3883.17206580  0.99938006
3883.17345470  0.99988769
3883.17484360  1.00018764
3883.17623250  0.99968620
3883.17762140  1.00001348
3883.17901030  0.99994864
3883.18039919  0.99941102
3883.18178809  0.99945178
3883.18317699  1.00022563
3883.18456589  1.00031049
3883.18595479  1.00024970
3883.18734368  1.00018125
3883.18873258  1.00084328
3883.19012148  1.00030232
3883.19151038  1.00026071
3883.19289928  0.99981810
3883.19428818  1.00014603
3883.19567707  1.00049756
3883.19706597  1.00093626
3883.19845487  1.00060738
3883.19984377  1.00072580
3883.20123267  1.00046123
3883.20262156  1.00025808
3883.20401046  1.00082112
3883.20539936  1.00029211
3883.20678826  1.00008118
3883.20817716  1.00023656
3883.20956606  1.00009117
3883.21095495  1.00046078
3883.21234385  1.00020904
3883.21373275  1.00040223
3883.21512165  1.00027293
3883.21651055  1.00008516
3883.21789944  1.00019242
3883.21928834  1.00021349
3883.22067724  1.00086034
3883.22206614  1.00041133
3883.22345504  1.00074199
3883.22484394  1.00036339
3883.22623283  1.00062212
3883.22762173  1.00016287
3883.22901063  1.00023717
3883.23039953  1.00023635
3883.23178843  1.00071314
3883.23317732  1.00055867
3883.23456622  1.00002922
3883.23595512  1.00016723
3883.23734402  1.00040541
3883.23873292  1.00020901
3883.24012181  0.99944177
3883.24151071  1.00028775
3883.24289961  1.00019411
3883.24428851  1.00027297
3883.24567741  1.02339881
3883.24706631  1.03250936
3883.24845520  1.02386597
3883.24984410  1.01634984
3883.25123300  1.01150831
3883.25262190  1.00808191
3883.25401080  1.00690709
3883.25539969  1.00603225
3883.25678859  1.00570715
3883.25817749  1.00455823
3883.25956639  1.00420188
3883.26095529  1.00419824
3883.26234418  1.00350546
3883.26373308  1.00348200
3883.26512198  1.00321019
3883.26651088  1.00292090
3883.26789978  1.00344614
3883.26928867  1.00328458
3883.27067757  1.00336311
3883.27206647  1.00279090
3883.27345537  1.00196289
3883.27484427  1.00218500
3883.27623316  1.00177770
3883.27762206  1.00213453
3883.27901096  1.00221207
3883.28039986  1.00184233
3883.28178876  1.00241217
3883.28317765  1.00229486
3883.28456655  1.00231781
3883.28595545  1.00240907
3883.28734435  1.00212801
3883.28873325  1.00150846
3883.29012214  1.00164531
3883.29151104  1.00144935
3883.29289994  1.00112800
3883.29428884  1.00126671
3883.29567774  1.00107219
3883.29706663  1.00106809
3883.29845553  1.00125452
3883.29984443  1.00102547
3883.30123333  1.00064409
3883.30262223  1.00101594
3883.30401112  1.00081874
3883.30540002  1.00047149
3883.30678892  1.00099357
3883.30817782  1.00084414
3883.30956672  1.00101127
3883.31095561  1.00103598
3883.31234451  1.00119987
3883.31373341  1.00068017
3883.31512231  1.00138849
3883.31651121  1.00093272
3883.31790010  1.00112212
3883.31928900  1.00066159
3883.32067790  1.00018965
3883.32206680  1.00048955
3883.32345569  1.00107488
3883.32484459  1.00064295
3883.32623349  1.00053469
3883.32762239  0.99984021
3883.32901129  1.00046532
3883.33040018  1.00148726
3883.33178908  1.00030038
3883.33317798  1.00019205
3883.33456688  1.00040448
3883.33595578  1.00033179
3883.33734467  1.00079625
3883.33873357  1.00088599
3883.34012247  1.00025231
3883.34151137  1.00023376
3883.34290026  1.00033265
3883.34428916  1.00047472
3883.34567806  1.00019030
3883.34706696  1.00036372
3883.34845586  1.00086420
3883.34984475  1.00097470
3883.35123365  1.00028895
3883.35262255  1.00042320
3883.35401145  1.00091654
3883.35540035  1.00056035
3883.35678924  0.99995216
3883.35817814  1.00044261
3883.35956704  1.00013986
3883.36095594  1.00011379
3883.36234483  1.00052451
3883.36373373  0.99987465
3883.36512263  1.00047186
3883.36651153  1.00034039
3883.36790043  1.00069968
3883.36928932  1.00031748
3883.37067822  0.99996871
3883.37206712  1.00030102
3883.37345602  1.00045467
3883.37484491  1.00031499
3883.37623381  1.00018769
3883.37762271  1.00027107
3883.37901161  1.00029944
3883.38040051  1.00014245
3883.38178940  1.00028260
3883.38317830  0.99971460
3883.38456720  1.00039068
3883.38595610  0.99984482
3883.38734499  1.00002454
3883.38873389  1.00030251
3883.39012279  1.00037822
3883.39151169  1.00002522
3883.39290058  1.00004918
3883.39428948  0.99998336
3883.39567838  1.00014701
3883.39706728  0.99994277
3883.39845618  1.00037810
3883.39984507  0.99977449
3883.40123397  0.99981055
3883.40262287  0.99989976
3883.40401177  1.00034426
3883.40540066  0.99973272
3883.40678956  1.00008910
3883.40817846  0.99946206
3883.40956736  0.99960403
3883.41095625  0.99940075
3883.41234515  0.99986944
3883.41373405  1.00019586
3883.41512295  0.99979973
3883.41651184  0.99987733
3883.41790074  0.99997683
3883.41928964  1.00081604
3883.42067854  1.00048443
3883.42206744  0.99958172
3883.42345633  0.99963873
3883.42484523  1.00032606
3883.42623413  0.99988089
3883.42762303  1.00035985
3883.42901192  1.00018869
3883.43040082  0.99990440
3883.43178972  1.00025051
3883.43317862  1.00018253
3883.43456751  1.00052462
3883.43595641  1.00005277
3883.43734531  1.00038675
3883.43873421  1.00011771
3883.44012310  1.00019900
3883.44151200  0.99984387
3883.44290090  1.00011297
3883.44428980  0.99979248
3883.44567869  1.00004340
3883.44706759  0.99996512
3883.44845649  1.00002106
3883.44984539  1.00023666
3883.45123428  1.00060102
3883.45262318  1.00064403
3883.45401208  1.00063539
3883.45540098  1.00138732
3883.45678987  1.00020950
3883.45817877  1.00016811
3883.45956767  1.00032567
3883.46095657  1.00067061
3883.46234546  1.00036757
3883.46373436  1.00013666
3883.46512326  1.00079268
3883.46651216  1.00026288
3883.46790105  1.00067246
3883.46928995  1.00052935
3883.47067885  1.00032530
3883.47206775  1.00032250
3883.47345664  1.00009289
3883.47484554  1.00046815
3883.47623444  1.00002598
3883.47762334  1.00014678
3883.47901223  1.00018941
3883.48040113  1.00013309
3883.48179003  1.00040427
3883.48317893  0.99930919
